time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2022/09/13/22:01:45.238870,447180,1663131705,238707136,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693037191974085, -0.7080719631961365, -0.14229900041689092, -0.461700515156128, -0.043583218251363576, -3.1670926252948206)","(-0.0, 0.0, 0.0, 0.0, -6.989440946586389e-20, 0.0)","(-2.3422691822052, -5.0707855224609375, -0.16029739379882812, -0.17635375261306763, -0.13705159723758698, 0.23418974876403809)"
2022/09/13/22:01:45.241063,447181,1663131705,240720645,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7080860894969483, -0.14227372804750615, -0.4616655868342896, -0.043556992207662404, -3.167094055806295)","(-0.0, 0.0, 0.0, 0.0, -4.563605926552988e-21, 0.0)","(-2.3852343559265137, -5.098270416259766, -0.18247541785240173, -0.16979634761810303, -0.15341104567050934, 0.2332809567451477)"
2022/09/13/22:01:45.243312,447182,1663131705,242709588,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693156401263636, -0.7080727976611634, -0.14227372804750615, -0.46170182645831304, -0.04357034364809209, -3.167067591344015)","(-0.0, 0.0, 0.0, 0.0, -2.9797086352658555e-22, 0.0)","(-2.3746490478515625, -5.084469318389893, -0.12021158635616302, -0.16372805833816528, -0.13721314072608948, 0.23993703722953796)"
2022/09/13/22:01:45.245081,447183,1663131705,244730141,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692917982684534, -0.7080603998950501, -0.14226085344423467, -0.46171434343371587, -0.0435565153705042, -3.1670804659472864)","(-0.0, 0.0, 0.0, 0.0, -1.9455368849712778e-23, 0.0)","(-2.349370002746582, -5.079844951629639, -0.17156952619552612, -0.17020262777805328, -0.14553970098495483, 0.24177485704421997)"
2022/09/13/22:01:45.247306,447184,1663131705,246716056,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693037191974085, -0.708123044376709, -0.1423118750201624, -0.4617017072490235, -0.04356986681093389, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -1.2702964047901535e-24, 0.0)","(-2.3662688732147217, -5.114584445953369, -0.12036922574043274, -0.16354334354400635, -0.1324712336063385, 0.22990047931671143)"
2022/09/13/22:01:45.249253,447185,1663131705,248808399,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692665258990687, -0.7080608767322083, -0.14229852357973272, -0.46170134962115483, -0.04355746904482061, -3.1671069304095667)","(-0.0, 0.0, 0.0, 0.0, -8.294127314622055e-26, 0.0)","(-2.37788987159729, -5.114053249359131, -0.14214076101779938, -0.16504646837711334, -0.14152891933918, 0.22096842527389526)"
2022/09/13/22:01:45.251372,447186,1663131705,250761864,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7080996793559571, -0.14229852357973272, -0.46168895185504155, -0.043556992207662404, -3.1670809427844446)","(-0.0, 0.0, 0.0, 0.0, -5.4154723364439144e-27, 0.0)","(-2.351623058319092, -5.070534706115723, -0.14090026915073395, -0.15958896279335022, -0.13764618337154388, 0.24670599400997162)"
2022/09/13/22:01:45.253139,447187,1663131705,252769414,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692922751056116, -0.7081114810756226, -0.1422975699054163, -0.4617397350123902, -0.04357034364809209, -3.1670807043658655)","(-0.0, 0.0, 0.0, 0.0, -3.5359163777050927e-28, 0.0)","(-2.3707175254821777, -5.084769248962402, -0.17791283130645752, -0.16081687808036804, -0.13356095552444458, 0.2401176244020462)"
2022/09/13/22:01:45.255359,447188,1663131705,254734416,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692808310138147, -0.708085910683014, -0.14228660265077764, -0.46163959920916753, -0.04355746904482061, -3.1670685450183313)","(-0.0, 0.0, 0.0, 0.0, -2.3087006967438e-29, 0.0)","(-2.35762357711792, -5.064931392669678, -0.13339459896087646, -0.16549035906791687, -0.14180900156497955, 0.22498033940792084)"
2022/09/13/22:01:45.257080,447189,1663131705,256772034,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169290844594137, -0.7080611747554322, -0.14228564897646123, -0.4617142242244263, -0.04357034364809209, -3.1670683065997522)","(-0.0, 0.0, 0.0, 0.0, -1.5074165277543713e-30, 0.0)","(-2.350071430206299, -5.101607322692871, -0.1598615050315857, -0.1665785312652588, -0.1411777138710022, 0.2314911037683487)"
2022/09/13/22:01:45.259368,447190,1663131705,258737372,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.16931659380068, -0.7080611151507874, -0.1422980467425745, -0.46167631567034917, -0.04360706010927373, -3.1670807043658655)","(-0.0, 0.0, 0.0, 0.0, -9.842353661475946e-32, 0.0)","(-2.393399715423584, -5.127233505249023, -0.11291506886482239, -0.15740834176540375, -0.14412814378738403, 0.2454027235507965)"
2022/09/13/22:01:45.261090,447191,1663131705,260817390,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692655722247522, -0.7080861491015931, -0.14232379594911748, -0.4617261451533814, -0.04356986681093389, -3.167044226323263)","(-0.0, 0.0, 0.0, 0.0, -6.42635341286455e-33, 0.0)","(-2.358039379119873, -5.100318431854248, -0.18270321190357208, -0.16559314727783203, -0.1364121288061142, 0.2270086109638214)"
2022/09/13/22:01:45.263297,447192,1663131705,262776356,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692665258990687, -0.7081115406802674, -0.14227325121034795, -0.46165306985888677, -0.043545071278707326, -3.167093340550558)","(-0.0, 0.0, 0.0, 0.0, -4.195950044134195e-34, 0.0)","(-2.369494915008545, -5.101126670837402, -0.1822243183851242, -0.16456857323646545, -0.14348751306533813, 0.22404688596725464)"
2022/09/13/22:01:45.264979,447193,1663131705,264769219,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693151632892054, -0.708086685543396, -0.14227372804750615, -0.46165378511462407, -0.04357034364809209, -3.167107168828146)","(-0.0, 0.0, 0.0, 0.0, -2.739655749442202e-35, 0.0)","(-2.303090810775757, -5.0781168937683105, -0.10341323167085648, -0.16799309849739075, -0.12979531288146973, 0.21543729305267334)"
2022/09/13/22:01:45.267248,447194,1663131705,266749000,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7080605787089844, -0.1422980467425745, -0.4617151778987427, -0.04356986681093389, -3.1670687834369105)","(-0.0, 0.0, 0.0, 0.0, -1.788799237194478e-36, 0.0)","(-2.340855598449707, -5.072985649108887, -0.10314521193504333, -0.1788691282272339, -0.13215948641300201, 0.2437628209590912)"
2022/09/13/22:01:45.268935,447195,1663131705,268729632,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692917982684534, -0.7080615919879456, -0.142249886189596, -0.4616773885539551, -0.04355794588197881, -3.1670687834369105)","(-0.0, 0.0, 0.0, 0.0, -1.1679581676811486e-37, 0.0)","(-2.3746113777160645, -5.128156661987305, -0.16437861323356628, -0.16136762499809265, -0.13742750883102417, 0.23054826259613037)"
2022/09/13/22:01:45.271162,447196,1663131705,270689077,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7080615919879456, -0.14229900041689092, -0.4616764348796387, -0.04359466234316045, -3.1670566240893763)","(-0.0, 0.0, 0.0, 0.0, -7.625932103883478e-39, 0.0)","(-2.2937872409820557, -5.080591201782227, -0.14721177518367767, -0.16919085383415222, -0.156868577003479, 0.22967636585235596)"
2022/09/13/22:01:45.273408,447197,1663131705,272752637,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693032423602503, -0.7080980700305481, -0.1422975699054163, -0.46170182645831304, -0.043569389973775685, -3.167105738316671)","(-0.0, 0.0, 0.0, 0.0, -4.979191794331443e-40, 0.0)","(-2.3291172981262207, -5.118987560272217, -0.1311156004667282, -0.166640967130661, -0.13396595418453217, 0.22416187822818756)"
2022/09/13/22:01:45.275091,447198,1663131705,274685103,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692922751056116, -0.7081106466105958, -0.14228660265077764, -0.4616772693446656, -0.04358274141420537, -3.167093340550558)","(-0.0, 0.0, 0.0, 0.0, -3.2510124372335756e-41, 0.0)","(-2.385915517807007, -5.142568588256836, -0.22623756527900696, -0.17301416397094727, -0.1420031189918518, 0.24109822511672974)"
2022/09/13/22:01:45.277320,447199,1663131705,276691756,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692917982684534, -0.7080599230578919, -0.14228612581361944, -0.4617268604091187, -0.043569389973775685, -3.167093817387716)","(-0.0, 0.0, 0.0, 0.0, -2.122967173452098e-42, 0.0)","(-2.3388261795043945, -5.10598611831665, -0.16729843616485596, -0.17972895503044128, -0.14151236414909363, 0.2286783903837204)"
2022/09/13/22:01:45.279051,447200,1663131705,278691208,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692798773394983, -0.7080734533122559, -0.1422980467425745, -0.46167607725177007, -0.043581787739888966, -3.1670923868762415)","(-0.0, 0.0, 0.0, 0.0, -1.3872854796815689e-43, 0.0)","(-2.3406295776367188, -5.098189353942871, -0.13869205117225647, -0.15662115812301636, -0.1402307003736496, 0.22239255905151367)"
2022/09/13/22:01:45.281314,447201,1663131705,280750924,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693032423602503, -0.7080987852862854, -0.14226133028139287, -0.4616893094829102, -0.04354554811586553, -3.1670430342303675)","(-0.0, 0.0, 0.0, 0.0, -8.407790785948902e-45, 0.0)","(-2.3203125, -5.135130882263184, -0.16237793862819672, -0.17789897322654724, -0.1448783576488495, 0.2412530481815338)"
2022/09/13/22:01:45.282934,447202,1663131705,282705513,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692670027362269, -0.7080608171275635, -0.14227325121034795, -0.4616900247386475, -0.043570820485250294, -3.1670685450183313)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3713016510009766, -5.093907356262207, -0.13398227095603943, -0.16444151103496552, -0.15507946908473969, 0.23397471010684967)"
2022/09/13/22:01:45.285216,447203,1663131705,284710595,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7080870431712647, -0.14233571687807256, -0.4616531890681763, -0.043607536946431935, -3.1670950094806116)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3668251037597656, -5.107010364532471, -0.17054952681064606, -0.16780972480773926, -0.13978348672389984, 0.2338520735502243)"
2022/09/13/22:01:45.286915,447204,1663131705,286718067,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7080862087062378, -0.142310921345846, -0.46170087278399663, -0.04357034364809209, -3.167093340550558)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3350796699523926, -5.103321075439453, -0.13024672865867615, -0.1619923710823059, -0.1418570727109909, 0.22333097457885742)"
2022/09/13/22:01:45.289093,447205,1663131705,288726690,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080983084491272, -0.14233571687807256, -0.4616643947413941, -0.04358274141420537, -3.1670566240893763)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.313284158706665, -5.10314416885376, -0.14945074915885925, -0.1776583194732666, -0.14740876853466034, 0.23718950152397156)"
2022/09/13/22:01:45.291301,447206,1663131705,290718490,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080605787089844, -0.14233524004091436, -0.46168990552935796, -0.04356891313661748, -3.1671186129199427)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.341127395629883, -5.110470294952393, -0.1705588698387146, -0.15769685804843903, -0.15133428573608398, 0.21831031143665314)"
2022/09/13/22:01:45.292979,447207,1663131705,292723909,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080852550319214, -0.1422970930682581, -0.4616776269725342, -0.04355746904482061, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3580408096313477, -5.075154781341553, -0.13468323647975922, -0.17250904440879822, -0.1563693881034851, 0.2155742198228836)"
2022/09/13/22:01:45.295251,447208,1663131705,294713166,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7081102293780823, -0.1423104445086878, -0.4616769117167969, -0.04358131090273076, -3.167056385670797)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3433339595794678, -5.127102375030518, -0.15866142511367798, -0.17044144868850708, -0.15395662188529968, 0.22226554155349731)"
2022/09/13/22:01:45.296949,447209,1663131705,296701812,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080488961986084, -0.14227277437318975, -0.4616522353938599, -0.04356891313661748, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3697259426116943, -5.129935264587402, -0.15278401970863342, -0.15678173303604126, -0.15618649125099182, 0.2382241189479828)"
2022/09/13/22:01:45.299199,447210,1663131705,298692861,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692808310138147, -0.7080871623805542, -0.14226133028139287, -0.4616770309260865, -0.04355937639345342, -3.167105738316671)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.316946506500244, -5.105661392211914, -0.12378065288066864, -0.17439961433410645, -0.13712984323501587, 0.24239914119243622)"
2022/09/13/22:01:45.300867,447211,1663131705,300684987,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.708073155289032, -0.14228564897646123, -0.46168966711077886, -0.043569389973775685, -3.1670690218554896)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.344179630279541, -5.106202602386475, -0.10442531108856201, -0.16260232031345367, -0.1491476595401764, 0.23049531877040863)"
2022/09/13/22:01:45.303109,447212,1663131705,302670666,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692913214312952, -0.7080865663341065, -0.14228612581361944, -0.46167607725177007, -0.04353315034975225, -3.167081419621603)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.336379051208496, -5.139304161071777, -0.1747121512889862, -0.15952923893928528, -0.14673936367034912, 0.23392470180988312)"
2022/09/13/22:01:45.305313,447213,1663131705,304733157,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7080863279155274, -0.14228660265077764, -0.4617155355266114, -0.043558899556295216, -3.1670807043658655)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3254222869873047, -5.1337151527404785, -0.13839823007583618, -0.15648166835308075, -0.15403079986572266, 0.23600977659225464)"
2022/09/13/22:01:45.307026,447214,1663131705,306742712,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169267479573385, -0.7080860894969483, -0.14226133028139287, -0.46166403711352544, -0.04355794588197881, -3.1670685450183313)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.341256856918335, -5.155689239501953, -0.12660273909568787, -0.1627841591835022, -0.13425350189208984, 0.23572149872779846)"
2022/09/13/22:01:45.309253,447215,1663131705,308755457,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169267479573385, -0.7080742877772828, -0.14227420488466436, -0.4616643947413941, -0.04360658327211553, -3.167081658040182)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3452630043029785, -5.091822624206543, -0.1641535460948944, -0.16193893551826477, -0.15690214931964874, 0.22275137901306152)"
2022/09/13/22:01:45.310929,447216,1663131705,310757602,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693037191974085, -0.7080615323833008, -0.14228660265077764, -0.4616897863200684, -0.043569389973775685, -3.1670690218554896)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.341238021850586, -5.119782447814941, -0.1911730170249939, -0.17812120914459229, -0.13740435242652893, 0.23531484603881836)"
2022/09/13/22:01:45.313243,447217,1663131705,312756779,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692798773394983, -0.7080725592425843, -0.14229852357973272, -0.46165306985888677, -0.04355842271913701, -3.1671062151538294)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.330497980117798, -5.1064066886901855, -0.12501713633537292, -0.17406275868415833, -0.14132383465766907, 0.23453789949417114)"
2022/09/13/22:01:45.315412,447218,1663131705,314755009,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692665258990687, -0.7080733341029664, -0.14232284227480108, -0.4616285127452393, -0.043583218251363576, -3.167068068181173)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.351877212524414, -5.11546516418457, -0.18735048174858093, -0.17607876658439636, -0.13980816304683685, 0.216155007481575)"
2022/09/13/22:01:45.317124,447219,1663131705,316746765,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169267479573385, -0.7080990833095093, -0.14226085344423467, -0.4616905015758057, -0.043569389973775685, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3251302242279053, -5.095656394958496, -0.12227460741996765, -0.16774970293045044, -0.15316897630691528, 0.2199641466140747)"
2022/09/13/22:01:45.319387,447220,1663131705,318752023,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692794005023401, -0.7080977720073243, -0.14229852357973272, -0.4617142242244263, -0.043581787739888966, -3.1670807043658655)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3215882778167725, -5.0663604736328125, -0.126723513007164, -0.1678556650876999, -0.13541483879089355, 0.2272219955921173)"
2022/09/13/22:01:45.321123,447221,1663131705,320747248,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1693161169635218, -0.7080856126597901, -0.14228660265077764, -0.46166475236926274, -0.04356986681093389, -3.167107168828146)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3455188274383545, -5.054624080657959, -0.13259781897068024, -0.17340686917304993, -0.1656232327222824, 0.23950086534023285)"
2022/09/13/22:01:45.323408,447222,1663131705,322716874,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.1692798773394983, -0.7080857318690796, -0.14228660265077764, -0.4616895479014893, -0.043581787739888966, -3.1670811812030237)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.326876163482666, -5.099102973937988, -0.2222396433353424, -0.15661296248435974, -0.14016960561275482, 0.2226169854402542)"
2022/09/13/22:01:45.325131,447223,1663131705,324732371,,"['elbow_joint', 'shoulder_lift_joint', 'shoulder_pan_joint', 'wrist_1_joint', 'wrist_2_joint', 'wrist_3_joint']","(1.169302765523092, -0.7080974143794556, -0.14228564897646123, -0.4617150586894532, -0.04355842271913701, -3.167068068181173)","(-0.0, 0.0, 0.0, 0.0, -0.0, 0.0)","(-2.3423728942871094, -5.120931148529053, -0.13901296257972717, -0.16464383900165558, -0.156549334526062, 0.23131202161312103)"
